"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-16T15:33:20.000Z",1958036,0,3091936,8,0,44.54,4670196
"2026-05-16T15:33:40.000Z",1957956,0,3091936,8,0,44.54,4670196
"2026-05-16T15:34:00.000Z",1643376,0,3091936,8,0,44.54,4670468
"2026-05-16T15:34:20.000Z",1643696,0,3096032,8,0,44.63,4680064
"2026-05-16T15:34:40.000Z",89652,0,365900,8,0,18.17,1905660
"2026-05-16T15:35:00.000Z",90740,0,365912,8,0,17.92,1878996
"2026-05-16T15:35:20.000Z",90832,0,365912,8,0,17.89,1876588
"2026-05-16T15:35:40.000Z",98504,0,365912,8,0,17.95,1882656
"2026-05-16T15:36:00.000Z",97812,0,365912,8,0,17.82,1868544
"2026-05-16T15:36:20.000Z",99108,0,365912,8,0,17.85,1872564
"2026-05-16T15:36:40.000Z",104064,0,365912,8,0,17.86,1872648
"2026-05-16T15:37:00.000Z",102996,0,365912,8,0,17.83,1870152
"2026-05-16T15:37:20.000Z",103628,0,365912,8,0,17.83,1870388
"2026-05-16T15:37:40.000Z",94368,0,365912,8,0,17.84,1871028
"2026-05-16T15:38:00.000Z",93404,0,365912,8,0,17.84,1870576
"2026-05-16T15:38:20.000Z",94368,0,365912,8,0,17.84,1870768
"2026-05-16T15:38:40.000Z",93636,0,365912,8,0,17.84,1870776
"2026-05-16T15:39:00.000Z",93636,0,365912,8,0,17.84,1870776
"2026-05-16T15:39:20.000Z",93860,0,365912,8,0,17.89,1876268
"2026-05-16T15:39:40.000Z",92076,0,365912,8,0,17.89,1876468
"2026-05-16T15:40:00.000Z",90628,0,365916,8,0,18.11,1898996
"2026-05-16T15:40:20.000Z",90636,0,365948,8,0,17.94,1880992
"2026-05-16T15:40:40.000Z",104988,0,365948,8,0,17.94,1881520
"2026-05-16T15:41:00.000Z",106824,0,368012,8,0,18.08,1895920
"2026-05-16T15:41:20.000Z",105708,0,368012,8,0,17.93,1879916
"2026-05-16T15:41:40.000Z",109620,0,370076,8,0,18.03,1891332
"2026-05-16T15:42:00.000Z",105716,0,370076,8,0,17.94,1881736
"2026-05-16T15:42:20.000Z",108628,0,370076,8,0,18.05,1893432
"2026-05-16T15:42:40.000Z",104980,0,370076,8,0,18.04,1892028
"2026-05-16T15:43:00.000Z",104328,0,370080,8,0,18.05,1892672
"2026-05-16T15:43:20.000Z",104976,0,370080,8,0,18,1888060
"2026-05-16T15:43:40.000Z",97820,0,370080,8,0,18.01,1889300
"2026-05-16T15:44:00.000Z",97820,0,370080,8,0,17.97,1884372
"2026-05-16T15:44:20.000Z",97868,0,370080,8,0,18.02,1889532
"2026-05-16T15:44:40.000Z",98136,0,370080,8,0,17.93,1880828
"2026-05-16T15:45:00.000Z",98140,0,370080,8,0,18.05,1893308
"2026-05-16T15:45:20.000Z",97596,0,370080,8,0,18,1888020
"2026-05-16T15:45:40.000Z",96240,0,370080,8,0,18,1887672
"2026-05-16T15:46:00.000Z",96620,0,370080,8,0,18.03,1891152
"2026-05-16T15:46:20.000Z",96980,0,370080,8,0,17.98,1886056
"2026-05-16T15:46:40.000Z",100364,0,370080,8,0,18.03,1890868
"2026-05-16T15:47:00.000Z",98776,0,370080,8,0,18.03,1890832
"2026-05-16T15:47:20.000Z",100124,0,370080,8,0,18.01,1888944
"2026-05-16T15:47:40.000Z",93492,0,370080,8,0,18.01,1889264
"2026-05-16T15:48:00.000Z",90740,0,370080,8,0,17.98,1886156
"2026-05-16T15:48:20.000Z",93276,0,370080,8,0,17.99,1886632
"2026-05-16T15:48:40.000Z",96572,0,370080,8,0,17.99,1887144
"2026-05-16T15:49:00.000Z",96572,0,370080,8,0,17.98,1886128
"2026-05-16T15:49:20.000Z",96612,0,370080,8,0,17.98,1885668
"2026-05-16T15:49:40.000Z",95496,0,370080,8,0,17.98,1885188
"2026-05-16T15:50:00.000Z",95500,0,370080,8,0,17.98,1885276
"2026-05-16T15:50:20.000Z",95556,0,370080,8,0,18.04,1892108
"2026-05-16T15:50:40.000Z",96532,0,370080,8,0,17.98,1885220
"2026-05-16T15:51:00.000Z",96532,0,370080,8,0,17.94,1881340
"2026-05-16T15:51:20.000Z",96424,0,370080,8,0,17.93,1880956
"2026-05-16T15:51:40.000Z",96312,0,370080,8,0,17.96,1884088
"2026-05-16T15:52:00.000Z",92824,0,370080,8,0,17.94,1881504
"2026-05-16T15:52:20.000Z",95504,0,370080,8,0,17.97,1884528
"2026-05-16T15:52:40.000Z",93240,0,370080,8,0,17.87,1874288
"2026-05-16T15:53:00.000Z",91412,0,370080,8,0,17.96,1883868
"2026-05-16T15:53:20.000Z",94040,0,370080,8,0,17.89,1876732
"2026-05-16T15:53:40.000Z",97228,0,370080,8,0,17.99,1886956
"2026-05-16T15:54:00.000Z",95500,0,370080,8,0,17.99,1887224
"2026-05-16T15:54:20.000Z",95656,0,370080,8,0,18.02,1889892
"2026-05-16T15:54:40.000Z",96780,0,370080,8,0,17.95,1882248
"2026-05-16T15:55:00.000Z",99588,0,370080,8,0,18.01,1888512
"2026-05-16T15:55:20.000Z",99608,0,370080,8,0,17.97,1884740
"2026-05-16T15:55:40.000Z",95276,0,368016,8,0,17.91,1877868
"2026-05-16T15:56:00.000Z",92476,0,368016,8,0,17.96,1884052
"2026-05-16T15:56:20.000Z",92768,0,368016,8,0,18.03,1890864
"2026-05-16T15:56:40.000Z",90584,0,368016,8,0,17.91,1878516
"2026-05-16T15:57:00.000Z",95824,0,368016,8,0,17.97,1884380
"2026-05-16T15:57:20.000Z",98616,0,368016,8,0,17.92,1879396
"2026-05-16T15:57:40.000Z",98760,0,368016,8,0,17.93,1880472
"2026-05-16T15:58:00.000Z",92356,0,368016,8,0,17.89,1875776
"2026-05-16T15:58:20.000Z",95796,0,368016,8,0,17.9,1877164
"2026-05-16T15:58:40.000Z",95428,0,368016,8,0,17.91,1877904
"2026-05-16T15:59:00.000Z",96540,0,368016,8,0,17.87,1874068
"2026-05-16T15:59:20.000Z",96540,0,368016,8,0,17.87,1873972
"2026-05-16T15:59:40.000Z",97360,0,368016,8,0,17.87,1873928
"2026-05-16T16:00:00.000Z",92332,0,365952,8,0,17.79,1865476
"2026-05-16T16:00:20.000Z",92476,0,365952,8,0,17.8,1867008
"2026-05-16T16:00:40.000Z",92476,0,365952,8,0,17.8,1867240
"2026-05-16T16:01:00.000Z",95364,0,365952,8,0,17.85,1871736
"2026-05-16T16:01:20.000Z",94520,0,365952,8,0,17.82,1868388
"2026-05-16T16:01:40.000Z",93796,0,366016,8,0,17.91,1878000
"2026-05-16T16:02:00.000Z",100924,0,366016,8,0,17.82,1869324
"2026-05-16T16:02:20.000Z",101812,0,366016,8,0,17.79,1865664
"2026-05-16T16:02:40.000Z",125600,0,450228,8,0,19.13,2006028
"2026-05-16T16:03:00.000Z",142684,0,448220,8,0,18.65,1956348
"2026-05-16T16:03:20.000Z",143300,0,448368,8,0,18.65,1955584
"2026-05-16T16:03:40.000Z",204348,0,448868,8,0,18.87,1979316
"2026-05-16T16:04:00.000Z",213072,0,448884,8,0,18.73,1963828
"2026-05-16T16:04:20.000Z",213084,0,448896,8,0,18.73,1963852
"2026-05-16T16:04:40.000Z",146136,0,448932,8,0,18.62,1952904
"2026-05-16T16:05:00.000Z",125960,0,448968,8,0,18.61,1951936
"2026-05-16T16:05:20.000Z",126964,0,448980,8,0,18.62,1952304
"2026-05-16T16:05:40.000Z",126780,0,449004,8,0,18.63,1953792
"2026-05-16T16:06:00.000Z",124256,0,449004,8,0,18.62,1953260
"2026-05-16T16:06:20.000Z",124432,0,449004,8,0,18.64,1955132
"2026-05-16T16:06:40.000Z",124824,0,449028,8,0,18.66,1956596
"2026-05-16T16:07:00.000Z",125148,0,449028,8,0,18.76,1967044
"2026-05-16T16:07:20.000Z",124524,0,449028,8,0,18.67,1958104
"2026-05-16T16:07:40.000Z",124692,0,449028,8,0,18.65,1955728
"2026-05-16T16:08:00.000Z",123020,0,449028,8,0,18.64,1954472
"2026-05-16T16:08:20.000Z",123692,0,449068,8,0,18.76,1967576
"2026-05-16T16:08:40.000Z",122956,0,449120,8,0,18.63,1954028
"2026-05-16T16:09:00.000Z",123468,0,449136,8,0,18.6,1950576
"2026-05-16T16:09:20.000Z",127696,0,449156,8,0,18.68,1958920
"2026-05-16T16:09:40.000Z",127516,0,449180,8,0,18.61,1952036
"2026-05-16T16:10:00.000Z",123820,0,449196,8,0,18.71,1962168
"2026-05-16T16:10:20.000Z",122904,0,449244,8,0,18.62,1952584
"2026-05-16T16:10:40.000Z",122968,0,449264,8,0,18.63,1953716
"2026-05-16T16:11:00.000Z",122600,0,449264,8,0,18.63,1954080
"2026-05-16T16:11:20.000Z",124332,0,449264,8,0,18.69,1960424
"2026-05-16T16:11:40.000Z",124880,0,449264,8,0,18.69,1960052
"2026-05-16T16:12:00.000Z",124784,0,449352,8,0,18.69,1960404
"2026-05-16T16:12:20.000Z",117160,0,449352,8,0,18.66,1957036
"2026-05-16T16:12:40.000Z",116732,0,449352,8,0,18.62,1952792
"2026-05-16T16:13:00.000Z",115892,0,449352,8,0,18.6,1950480
"2026-05-16T16:13:20.000Z",128888,0,449352,8,0,18.62,1952884
"2026-05-16T16:13:40.000Z",128928,0,449352,8,0,18.72,1962804
"2026-05-16T16:14:00.000Z",128992,0,449352,8,0,18.61,1951572
"2026-05-16T16:14:20.000Z",121016,0,449408,8,0,18.73,1964252
"2026-05-16T16:14:40.000Z",121100,0,449408,8,0,18.62,1953144
"2026-05-16T16:15:00.000Z",119556,0,449408,8,0,18.62,1953144
"2026-05-16T16:15:20.000Z",123008,0,449408,8,0,18.66,1956536
"2026-05-16T16:15:40.000Z",123328,0,449408,8,0,18.65,1955424
"2026-05-16T16:16:00.000Z",122496,0,449408,8,0,18.63,1953808
"2026-05-16T16:16:20.000Z",111744,0,449412,8,0,18.64,1954876
"2026-05-16T16:16:40.000Z",110152,0,449412,8,0,18.62,1953236
"2026-05-16T16:17:00.000Z",108596,0,449412,8,0,18.6,1950184
"2026-05-16T16:17:20.000Z",108940,0,449412,8,0,18.6,1950580
"2026-05-16T16:17:40.000Z",93028,0,366576,8,0,17.79,1865800
"2026-05-16T16:18:00.000Z",90720,0,366576,8,0,17.78,1864212
"2026-05-16T16:18:20.000Z",92164,0,366576,8,0,17.78,1864616
"2026-05-16T16:18:40.000Z",92164,0,366576,8,0,17.78,1864708
"2026-05-16T16:19:00.000Z",92176,0,366576,8,0,17.78,1864720
"2026-05-16T16:19:20.000Z",93976,0,366576,8,0,17.78,1864732
"2026-05-16T16:19:40.000Z",93976,0,366576,8,0,17.79,1865308
"2026-05-16T16:20:00.000Z",94948,0,366576,8,0,17.81,1867672
"2026-05-16T16:20:20.000Z",91148,0,366576,8,0,17.82,1869192
